Bus_Routes_Name,Bus_Routes_links,Bus_name,Bus_type,Departing_time,Duration,Reaching_time,Star_rating,Price,Seat_availability
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 1224,Deluxe (Non AC Seater 2+2),22:40,05h 50m,04:30,3.7,INR 277,"37 Seats available
18 Window"
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 1224,Deluxe (Non AC Seater 2+2),22:40,05h 50m,04:30,3.7,INR 277,"37 Seats available
18 Window"
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8827,Super Luxury (Non AC Seater 2+2 Push Back),22:55,04h 25m,03:20,4.0,INR 320,29 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8827,Super Luxury (Non AC Seater 2+2 Push Back),22:55,04h 25m,03:20,4.0,INR 320,29 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 6631,Super Luxury (Non AC Seater 2+2 Push Back),23:00,04h 30m,03:30,3.7,INR 320,27 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 6631,Super Luxury (Non AC Seater 2+2 Push Back),23:00,04h 30m,03:30,3.7,INR 320,27 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 4166,Rajdhani (AC Semi Sleeper 2+2),23:00,04h 00m,03:00,4.1,INR 389,"35 Seats available
17 Window"
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 4166,Rajdhani (AC Semi Sleeper 2+2),23:00,04h 00m,03:00,4.1,INR 389,"35 Seats available
17 Window"
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8644,Super Luxury (Non AC Seater 2+2 Push Back),23:10,04h 10m,03:20,4.3,INR 320,29 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8644,Super Luxury (Non AC Seater 2+2 Push Back),23:10,04h 10m,03:20,4.3,INR 320,29 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8992,Super Luxury (Non AC Seater 2+2 Push Back),23:25,03h 55m,03:20,4.3,INR 320,26 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8992,Super Luxury (Non AC Seater 2+2 Push Back),23:25,03h 55m,03:20,4.3,INR 320,26 Seats available
