Bus_Routes_Name,Bus_Routes_links,Bus_name,Bus_type,Departing_time,Duration,Reaching_time,Star_rating,Price,Seat_availability
Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,New Sindhu Travels,Non A/C Seater / Sleeper (2+1),19:45,10h 20m,06:05,2.1,INR 3000,"35 Seats available
15 Single"
Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,SREEONE,Mercedes Benz Multi-Axle A/C Sleeper (2+1),21:15,08h 45m,06:00,2.1,INR 1500,"1 Seat available
1 Single"
Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,SREEONE,Mercedes Benz Multi-Axle A/C Sleeper (2+1),21:15,08h 45m,06:00,2.1,INR 1500,"1 Seat available
1 Single"
Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Naveen Tours and Travels,AC Seater (2+2),05:36,08h 10m,13:46,1.4,INR 3999,"40 Seats available
1 Single"
Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Naveen Tours and Travels,AC Seater (2+2),05:36,08h 10m,13:46,1.4,INR 3999,"40 Seats available
1 Single"
Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Naveen Tours and Travels,A/C Seater/Sleeper (2+1),22:16,08h 10m,06:26,1.4,INR 3999,"44 Seats available
10 Single"
Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Naveen Tours and Travels,A/C Seater/Sleeper (2+1),22:16,08h 10m,06:26,1.4,INR 3999,"44 Seats available
10 Single"
Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Naveen Tours and Travels,A/C Seater/Sleeper (2+1),22:40,07h 20m,06:00,1.4,INR 3999,"44 Seats available
10 Single"
Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Naveen Tours and Travels,A/C Seater/Sleeper (2+1),22:40,07h 20m,06:00,1.4,INR 3999,"44 Seats available
10 Single"
Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Naveen Tours and Travels,A/C Seater/Sleeper (2+1),05:36,08h 10m,13:46,1.4,INR 3999,"44 Seats available
10 Single"
